iter	Logloss
0	0.6903026558
1	0.6865287128
2	0.6835495122
3	0.681254034
4	0.6780314989
5	0.6762198461
6	0.6730690592
7	0.6706087868
8	0.6669442968
9	0.6645830384
10	0.6614958571
11	0.6585985593
12	0.6558502328
13	0.6526010696
14	0.6495576234
15	0.6466695047
16	0.6438542176
17	0.6399264334
18	0.637067545
19	0.6345632073
20	0.6317441322
21	0.6293975867
22	0.6259241142
23	0.6224470349
24	0.6193666188
25	0.6162207982
26	0.6136712894
27	0.6113586954
28	0.6082214344
29	0.6059229094
30	0.6042330165
31	0.6017344593
32	0.5990661726
33	0.596608243
34	0.5936519848
35	0.591324345
36	0.5879762491
37	0.584902368
38	0.5827233336
39	0.5802154771
40	0.5771612604
41	0.5753941147
42	0.5727295931
43	0.570296326
44	0.5684669322
45	0.5661663076
46	0.5627012857
47	0.5604958579
48	0.5579783055
49	0.5553291563
50	0.5526646096
51	0.5504228818
52	0.5484964848
53	0.54616168
54	0.5441246633
55	0.5416435283
56	0.5393812607
57	0.5375966169
58	0.5350841907
59	0.5330895424
60	0.5314377661
61	0.528972687
62	0.5271457522
63	0.5245844845
64	0.5223069557
65	0.5205139392
66	0.5179648517
67	0.5161104509
68	0.5141584664
69	0.5121104662
70	0.5093673655
71	0.5070414455
72	0.5051174384
73	0.5031223626
74	0.5011637445
75	0.4987115562
76	0.496169005
77	0.4938425588
78	0.4919201522
79	0.4898990722
80	0.4875493074
81	0.4858467569
82	0.4846240171
83	0.4827502265
84	0.4806596953
85	0.478580449
86	0.4771195465
87	0.4750218414
88	0.4732427301
89	0.4717942896
90	0.4697655933
91	0.4679947043
92	0.465850264
93	0.4642784258
94	0.4626601519
95	0.4607655821
96	0.4589446014
97	0.4570920167
98	0.4558388398
99	0.4535168792
100	0.452164021
101	0.4506828579
102	0.4489418757
103	0.4476956421
104	0.4459924369
105	0.4443262955
106	0.4426607165
107	0.4411544952
108	0.4389145942
109	0.4378058927
110	0.4361305697
111	0.4347372145
112	0.4326550188
113	0.4318157698
114	0.4302012304
115	0.428780996
116	0.4269765081
117	0.4253464867
118	0.423600663
119	0.4223612226
120	0.4208584132
121	0.4193718651
122	0.4184161844
123	0.4165201767
124	0.4153477299
125	0.4137343941
126	0.4124697134
127	0.4109696174
128	0.4095746558
129	0.4085628214
130	0.4069482729
131	0.4052539135
132	0.4037399374
133	0.4022177663
134	0.4004400504
135	0.3990465271
136	0.3979119383
137	0.3961115636
138	0.3943398295
139	0.3925336234
140	0.3911782877
141	0.3898447123
142	0.3886125651
143	0.3871210735
144	0.3856821718
145	0.3840777619
146	0.3827561802
147	0.381381873
148	0.3800724753
149	0.3790309577
150	0.3773512848
151	0.3757282356
152	0.3742909452
153	0.3729125792
154	0.3713136854
155	0.3701975502
156	0.3691216
157	0.3683337134
158	0.3668745135
159	0.3658786157
160	0.3644814035
161	0.3636194653
162	0.3621375762
163	0.3606353102
164	0.3595630847
165	0.3586287256
166	0.357205922
167	0.3560463683
168	0.3548717565
169	0.3537420359
170	0.3524460542
171	0.3507804682
172	0.3495796109
173	0.3482320288
174	0.3475171784
175	0.3467816209
176	0.3452678491
177	0.3441734873
178	0.3433999834
179	0.3423617359
180	0.3410391923
181	0.3399736454
182	0.3388038002
183	0.3377393686
184	0.3368562164
185	0.3358803239
186	0.3346955858
187	0.3336084789
188	0.3324039603
189	0.3309870921
190	0.3298304759
191	0.3287247855
192	0.328022159
193	0.3266710376
194	0.3256048914
195	0.3247976562
196	0.3238104602
197	0.3228569984
198	0.3219659998
199	0.320697516
200	0.3196117512
201	0.3186565876
202	0.3174773282
203	0.3162524663
204	0.3151433858
205	0.3141127142
206	0.3130080585
207	0.3120333918
208	0.3111465244
209	0.3100367427
210	0.3092462051
211	0.3079614919
212	0.3069806198
213	0.3060875054
214	0.3052266931
215	0.3040753504
216	0.3032370164
217	0.3020729065
218	0.3011017672
219	0.3001028044
220	0.299024064
221	0.2981142981
222	0.2972061659
223	0.2958537998
224	0.2951303063
225	0.294113775
226	0.2933779338
227	0.2923527035
228	0.2917901064
229	0.29062414
230	0.289842516
231	0.2887246921
232	0.2879847083
233	0.2868889077
234	0.2863788966
235	0.2856099088
236	0.2846530068
237	0.2839864829
238	0.2830081257
239	0.2820578008
240	0.2811798129
241	0.2802007585
242	0.2791262183
243	0.2781660179
244	0.2774706142
245	0.2769339249
246	0.2763915818
247	0.2755681548
248	0.2745531156
249	0.2737985595
250	0.2729196302
251	0.2721145613
252	0.2712364345
253	0.2704055054
254	0.269639178
255	0.2688409386
256	0.2680475597
257	0.267241048
258	0.2664378651
259	0.2655042467
260	0.2648019347
261	0.2640722604
262	0.2629891897
263	0.2623117356
264	0.2617141148
265	0.2609935982
266	0.2600849053
267	0.259313881
268	0.2585983671
269	0.2580399291
270	0.2574780415
271	0.2566877308
272	0.2559526542
273	0.2552922972
274	0.2543056225
275	0.2536963693
276	0.2528775519
277	0.2523674447
278	0.2515462037
279	0.2510260771
280	0.2502356858
281	0.2495562825
